    TYPE,  SIZE, REPEAT, G.FLOP,    SEC,  G.FLOPS, G.INS, G.L2_DCM
   naive,  1024,      1,   2.15,   2.52,    0.85,   7.52,     1.08
     opt,  1024,      1,   2.15,   1.29,    1.66,   9.08,     0.04
